sample,fastq_1,fastq_2,strandedness
control_REP1,SLX-8765.A001.C4EYHANXX.s_8.r_1.fq.gz,,reverse
control_REP1,SLX-8768.A001.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
control_REP1,SLX-9610.A001.C6GVPANXX.s_8.r_1.fq.gz,,reverse
Tg_REP1,SLX-8765.A003.C4EYHANXX.s_8.r_1.fq.gz,,reverse
Tg_REP1,SLX-9610.A003.C6GVPANXX.s_8.r_1.fq.gz,,reverse
Tg_REP1,SLX-8768.A003.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
control_REP2,SLX-8768.A009.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
control_REP2,SLX-9612.A009.C6H2YANXX.s_8.r_1.fq.gz,,reverse
control_REP2,SLX-8765.A009.C4EYHANXX.s_8.r_1.fq.gz,,reverse
Tg_REP2,SLX-8768.A010.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
Tg_REP2,SLX-9612.A010.C6H2YANXX.s_8.r_1.fq.gz,,reverse
Tg_REP2,SLX-8765.A010.C4EYHANXX.s_8.r_1.fq.gz,,reverse
Tg_REP2,SLX-9615.A010.C66Y8ANXX.s_5.r_1.fq.gz,,reverse
control_REP3,SLX-8768.A016.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
control_REP3,SLX-9612.A016.C6H2YANXX.s_8.r_1.fq.gz,,reverse
control_REP3,SLX-8765.A016.C4EYHANXX.s_8.r_1.fq.gz,,reverse
control_REP3,SLX-9615.A016.C66Y8ANXX.s_5.r_1.fq.gz,,reverse
Tg_REP3,SLX-8765.A018.C4EYHANXX.s_8.r_1.fq.gz,,reverse
Tg_REP3,SLX-8768.A018.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
Tg_REP3,SLX-9610.A018.C6GVPANXX.s_8.r_1.fq.gz,,reverse
control_REP4,SLX-8768.A020.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
control_REP4,SLX-9610.A020.C6GVPANXX.s_8.r_1.fq.gz,,reverse
control_REP4,SLX-8765.A020.C4EYHANXX.s_8.r_1.fq.gz,,reverse
Tg_REP4,SLX-8765.A021.C4EYHANXX.s_8.r_1.fq.gz,,reverse
Tg_REP4,SLX-8768.A021.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
control_REP5,SLX-8768.A023.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
control_REP5,SLX-9612.A023.C6H2YANXX.s_8.r_1.fq.gz,,reverse
control_REP5,SLX-8765.A023.C4EYHANXX.s_8.r_1.fq.gz,,reverse
Tg_REP5,SLX-8768.A025.C5UP5ANXX.s_4.r_1.fq.gz,,reverse
Tg_REP5,SLX-8765.A025.C4EYHANXX.s_8.r_1.fq.gz,,reverse
Tg_REP5,SLX-9610.A025.C6GVPANXX.s_8.r_1.fq.gz,,reverse